cube_size,algorithm,avg_time_sec,avg_memory_kb,avg_move_count,success_runs,total_runs
2x2x2,DFS,9.9304,15.19,5,98,100
2x2x2,BFS,1.3018,27892.08,2,96,100
2x2x2,A*,0.1225,2489.39,2,98,100
3x3x3,DFS,99.3935,21.58,5,99,100
3x3x3,BFS,2.1804,46519.45,2,100,100
3x3x3,A*,0.0068,143.67,2,100,100
4x4x4,DFS,121.3354,25.89,5,99,100
4x4x4,BFS,2.9285,60150.96,2,100,100
4x4x4,A*,0.0087,180.46,2,100,100
5x5x5,DFS,231.1116,38.09,5,100,100
5x5x5,BFS,4.0932,93605.58,2,99,100
5x5x5,A*,0.009,220.39,2,100,100
6x6x6,DFS,207.814,45.76,5,100,100
6x6x6,BFS,5.4163,118302.61,2,100,100
6x6x6,A*,0.0108,255.99,2,100,100
